id,title,description,categories,tags,image,price,weight,pieces,label,my_order,created_at,updated_at
138,Спрайт,"Sprite 0,5",10,,спрайт.jpg,18.0,500,0,,145,2018-04-11 21:42:09,2018-06-06 20:38:29
139,Rich мультифрукт,Сік Rich мультифрукт 1 л.,10,,сік_річ_мультифрукт.jpg,35.0,1000,0,,146,2018-04-11 21:45:40,2018-10-23 23:34:09
140,Rich Яблуко,Сік Rich яблуко 1 л.,10,,сік_річ_яблучний.jpg,35.0,1000,0,,147,2018-04-11 21:46:52,2018-10-23 23:35:24
141,Rich Апельсин,Сік Rich апельсин 1л.,10,,сік_річ_апельсин.jpg,35.0,1000,0,,148,2018-04-11 21:47:51,2018-10-23 23:36:09
146,Ебі макі,"Норі, рис, криветка.",2,3,ебі_макі.jpg,64.0,105,0,,153,2018-04-16 17:50:07,2018-06-06 20:38:29
190,Токіо,"Хаманіші, хот чікен, гаряча креветка, гаряча філадельфія.","12,13","1,2,3,6,8",400_роз-01.jpg,385.0,800,24,"2,3",154,2018-08-06 13:47:22,2018-10-23 23:08:50
178,Тріо,"Дует, венеція, сирний дует.",12,"1,2,3,8",дует_сирний_дует_нагая.jpg,350.0,600,24,3,155,2018-06-11 14:40:44,2018-10-23 23:05:06
150,Унагі набір,"Орігате, зелений дракон, унагі макі, унагі нігірі 2 шт.",12,,СЕТ_УНАГІ.jpg,345.0,550,0,,156,2018-04-17 13:08:49,2018-10-23 23:07:35
149,Сяке набір,"Філадельфія, чикаго, сяке макі, нігірі сяке 2шт.",12,,сяке_новий.jpg,315.0,550,0,,157,2018-04-17 13:07:15,2018-12-08 10:02:26
182,Десятка,"Філадельфія люкс, королівський рол, кунсей, каліфорнія сяке, орігате, рору, авокадо макі, сяке макі, тека макі, боніто маки.",12,"1,2,3,8",біг__сет_1.jpg,770.0,1600,40,3,158,2018-06-26 15:55:07,2018-10-28 21:40:06
158,Сирний набір,"Чікен чіз рол, чіз рол, три сири, ікура маки.",12,8,сирний.jpg,249.0,700,0,2,159,2018-04-23 10:13:38,2018-10-23 23:22:23
148,Самурай,"Каліфорнія сяке, овара, шахмати, блек рол.",12,,САМУРАЙ.jpg,425.0,760,0,,160,2018-04-17 13:05:05,2018-10-23 23:11:25
147,Класика,"Тека макі, сяке макі, ебі макі, унагі макі.",12,"1,2,3,4",КЛАСИКА.jpg,245.0,420,0,,161,2018-04-17 13:02:04,2018-10-23 23:28:09
159,Мега набір,"Канада, маямі, чіз рол, каліфорнія ебі, сяке кунсей, інь янь, кадзумі, овара.",12,,мега_набір.jpg,740.0,1500,0,,163,2018-04-23 12:58:00,2018-10-23 23:21:14
156,Набір гурмана,"Піца Аль сальмоне 32 см, рол сяке кунсей, рол доміно.",12,1,копченого__лосося.jpg,289.0,850,0,,164,2018-04-21 09:40:16,2018-06-06 20:38:30
155,Набір для чотирьох,"Неаполітана 32 см, капрічоза 32 см, coca cola 4 шт",12,,піца_сет__4_особи.jpg,280.0,1200,0,,165,2018-04-21 09:20:38,2018-10-23 23:29:22
160,Імбир,Імбир маринований.,14,,імбир.jpg,6.0,30,0,,166,2018-04-26 14:05:49,2018-06-06 20:38:30
161,Васабі,Японський хрін,14,,васабі.jpg,5.0,20,0,,167,2018-04-26 14:09:10,2018-06-06 20:38:30
162,Спайс соус,Гострий японський соус.,14,,спайс_соус.jpg,15.0,35,0,1,168,2018-04-26 14:19:10,2018-06-06 20:38:30
163,Соєвий соус,Соєвий соус.,14,,соєвий_соус.jpg,15.0,100,0,,169,2018-04-26 14:39:27,2018-06-06 20:38:30
164,Горіховий соус,Ніжна кремова паста зі смаком кунжуту.,14,,горіховий_соус.jpg,25.0,40,0,,170,2018-04-27 13:00:38,2018-06-06 20:38:30
